Month,A-NLL,A-allocators,A-amusing,A-associated-items,A-async-await,A-attributes,A-bitrig,A-bsd,A-build,A-closures,A-codegen,A-collections,A-concurrency,A-const-fn,A-debuginfo,A-destructors,A-diagnostics,A-docs,A-dragonflybsd,A-dst,A-edition-2018-lints,A-frontend,A-hir,A-infrastructure,A-io,A-iterators,A-lang,A-libs,A-lifetimes,A-linkage,A-lint,A-linux,A-llvm,A-macros,A-macros-1.2,A-mir,A-openbsd,A-parallel-queries,A-parser,A-plugin,A-resolve,A-runtime,A-rust-2018-preview,A-rustbuild,A-rustdoc,A-save-analysis,A-stability,A-syntaxext,A-testsuite,A-tools,A-traits,A-typesystem,A-unicode,A-windows,A-x86_64,T-compiler,T-core,T-dev-tools,T-dev-tools-rustdoc,T-doc,T-infra,T-lang,T-libs,T-release,T-rustdoc,Unlabeled,Multi
2016-02,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,377,280,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,49,0,10,0,0,0,227,0,0,0,18,70,0,0,0,9,0,82,0,0,0,0,0,0,3009,0,0,14595,1656
2016-03,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,847,506,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,594,0,0,0,0,86,0,0,0,226,0,0,0,8,0,0,0,0,0,0,2787,0,0,0,0,0,484,1139,0,0,23884,2362
2016-04,0,0,0,0,0,0,0,0,217,0,0,179,0,0,47,0,67,699,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,200,918,0,0,416,0,1187,0,0,0,31,0,1333,0,0,0,0,0,5954,1439,0,0,23210,5992
2016-05,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,109,1044,0,0,0,0,0,0,0,0,526,747,0,0,0,0,0,968,0,268,0,0,0,0,0,64,0,80,128,0,0,0,67,0,0,0,0,1692,0,125,0,0,0,0,0,1172,1059,0,0,23102,3148
2016-06,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,131,0,0,0,0,0,0,0,0,0,0,0,2477,0,0,0,0,0,2039,0,0,0,0,0,0,0,44,1061,0,0,24835,1328
2016-07,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,119,1719,0,0,0,0,0,0,0,0,0,20,0,186,389,0,0,0,0,0,0,0,0,0,0,5467,0,12,0,0,0,40,0,185,0,0,0,959,0,2044,0,0,0,0,0,1266,303,0,0,13942,395
2016-08,0,0,0,0,0,0,0,0,2,0,43,0,0,0,351,0,2052,163,0,0,0,0,0,273,0,0,0,28,19,0,0,0,0,55,0,472,0,0,0,0,0,0,0,0,61,0,0,0,59,0,0,0,0,0,0,6420,0,0,0,0,0,6389,1004,0,0,22137,14897
2016-09,0,0,0,0,0,0,0,0,16,0,498,69,0,0,0,0,165,1531,0,0,0,0,0,0,0,0,0,0,0,0,3235,0,77,383,0,0,0,0,0,0,0,0,0,0,0,0,0,101,715,0,0,0,0,0,0,107,0,0,0,0,0,1029,1394,0,0,9747,297
2016-10,0,0,0,0,0,0,0,0,114,0,4,1291,0,0,102,0,63,365,0,0,0,0,0,0,0,0,857,45,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,2423,4,0,0,0,6,0,613,0,0,0,0,0,1384,474,0,0,14641,180
2016-11,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,7386,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,1187,0,0,0,0,514,1231,1800,0,0,0,0,1656,0,0,0,0,0,0,109,0,0,15954,355
2016-12,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,203,445,0,0,0,6,0,59,0,0,0,129,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,74,53,0,0,66,0,153,0,0,0,0,0,609,0,0,0,0,0,2717,267,0,0,31351,434
2017-01,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,641,63,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,192,0,2192,0,0,0,5,0,711,751,0,0,32727,6386
2017-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,97,0,0,0,0,0,0,0,0,0,153,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,642,0,1054,0,0,0,2117,0,463,64,0,0,26469,23758
2017-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,982,0,0,0,0,0,130,0,0,0,0,0,0,0,0,4,136,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,1642,0,0,165,0,3530,0,0,0,0,0,600,1264,0,0,51825,38125
2017-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1591,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,77,0,0,0,0,165,0,0,0,626,0,63,299,0,0,25460,2094
2017-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,500,643,0,0,0,0,0,134,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,72,0,0,0,379,0,0,0,0,331,0,543,0,0,0,0,0,510,201,0,0,19338,5539
2017-06,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,205,212,0,0,0,0,0,0,0,0,0,64,623,0,1086,0,0,503,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,408,0,500,0,0,0,400,303,0,0,20356,2033
2017-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,36,0,0,0,0,0,0,0,0,748,0,0,157,414,0,0,175,0,0,0,0,0,0,0,0,0,1077,198,0,0,0,0,0,0,0,0,5,0,3915,0,0,0,0,11998,7768,912,0,0,15938,1193
2017-08,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1297,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,28,0,0,0,0,0,0,0,0,0,0,4500,0,995,0,4,84,715,501,0,0,21521,571
2017-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,840,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,160,0,0,0,0,0,0,13,0,0,220,37,0,0,0,181,0,0,0,0,0,0,4853,0,0,0,198,0,1054,423,0,0,21531,5862
2017-10,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,1748,235,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,710,10610,0,0,2741,0,0,0,71,0,1794,210,0,0,17889,1600
2017-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4617,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,741,0,0,0,0,0,0,6585,0,0,0,0,0,1654,39,0,0,17218,4568
2017-12,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,9471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,724,0,0,0,0,1299,0,1410,0,0,0,59,1033,406,103,0,0,42146,3244
2018-01,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,14,0,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,2716,0,0,0,0,936,2222,1007,0,0,18789,6771
2018-02,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,61,0,0,1344,0,0,0,0,0,0,0,273,160,0,0,0,40,90,0,0,0,0,0,0,0,0,0,0,2125,165,0,0,264,839,2741,1168,0,0,27872,10055
2018-03,590,0,0,0,0,0,0,0,0,0,104,0,0,338,36,0,187,0,0,0,0,0,0,0,0,0,0,0,3188,0,0,0,0,4516,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,274,0,0,0,0,3744,0,0,0,793,1196,3015,1006,512,0,17989,5419
2018-04,288,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,81,726,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,329,0,0,0,448,0,0,0,0,0,111,22,0,0,0,0,5,0,0,0,0,0,1689,0,0,33,292,0,5593,13249,2544,0,25229,1908
2018-05,124,0,0,0,0,0,0,0,17,0,24,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,805,237,0,1480,1284,103,0,0,0,300,0,156,0,0,0,0,1933,0,0,0,41,0,1299,4483,0,41,66129,4473
2018-06,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3186,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,232,0,0,0,0,0,0,0,0,274,491,157,0,0,0,1580,0,0,373,0,0,0,5537,0,0,2,86,0,254,495,0,133,18215,1950
