ID,additions ,deletions ,num_easy_y1,year,status
1,0,0,0.301029996,2010,new
2,1.86332286,1.431363764,0.301029996,2010,new
3,0.477121255,0,0.301029996,2011,new
4,1.968482949,1.643452676,0.301029996,2011,new
5,3.75692697,3.761211,0.301029996,2011,new
6,2.971739591,2.88885867,0.301029996,2011,new
7,4.81779227,4.81599313,0.301029996,2011,new
8,2.86451181,2.814247596,0.301029996,2011,new
9,2.56726366,2.33423755,0.301029996,2011,new
10,0,0,0.301029996,2011,new
11,3.17867719,2.143148,0.301029996,2011,new
12,2.718827,1.3129996,0.301029996,2011,new
13,2.4312521,1.86179974,0.301029996,2011,new
14,2.28331229,1.14612836,0.301029996,2011,new
15,0,0,0.301029996,2011,new
16,1.6259991,0.698974,0.301029996,2011,new
17,3.56324371,3.475815,0.301029996,2011,new
18,3.63538324,2.77354693,0.301029996,2011,new
19,2.2951515,2.143148,0.301029996,2011,new
20,2.4487632,2.324282455,0.301029996,2011,new
21,4.65318238,3.6745523,0.301029996,2011,new
22,2.71567985,2.172997,0.301029996,2011,new
23,2.68335513,2.28331229,0.301029996,2011,new
24,2.45331834,2.17691259,0.301029996,2011,new
25,1,1,0.301029996,2011,new
26,2.311753861,1.944482672,0.301029996,2011,new
27,3.19531685,3.289811839,0.301029996,2011,new
28,1.27875361,1.113943352,0.301029996,2012,new
29,0.6259991,0.6259991,0.301029996,2012,new
30,0.9389987,0.9389987,0.301029996,2012,new
31,2.123851641,0.845984,0.301029996,2012,new
32,0.698974,1.41392685,0.301029996,2012,new
33,1.531478917,1.79181246,0.301029996,2012,new
34,2.346352974,2.3821743,0.301029996,2012,new
35,0,0,0.301029996,2012,new
36,2.149219113,1.792391689,0.301029996,2012,new
37,3.914713287,3.6436538,0.301029996,2012,new
38,0.3129996,0.3129996,0.301029996,2012,new
39,1.924279286,1.87561263,0.301029996,2012,new
40,1,1.14612836,0.301029996,2012,new
41,0.3129996,0.3129996,0.301029996,2012,new
42,2.477121255,1.24119983,0.301029996,2012,new
43,0.477121255,0,0.301029996,2012,new
44,1.491361694,1.55149978,0.301029996,2012,new
45,2.969113,1.56821724,0.301029996,2012,new
46,1.23448921,1.23448921,0.301029996,2012,new
47,0.3129996,0.3129996,0.301029996,2012,new
48,2.28133367,2.465418,0.301029996,2012,new
49,1.662757832,1.322219295,0.301029996,2012,new
50,3.336859821,3.8266934,0.301029996,2012,new
51,1.3129996,1.698974,0.301029996,2012,new
52,2.17261715,2.25527255,0.301029996,2012,new
53,1.6259991,0,0.301029996,2012,new
54,0,0,0.301029996,2012,new
55,3.92371194,3.914237348,0.301029996,2012,new
56,3.35449261,3.62797999,0.301029996,2012,new
57,1.491361694,1.3129996,0.301029996,2012,new
58,2.6483611,2.167317335,0.301029996,2012,new
59,0,0,0.301029996,2012,new
60,2.4312521,2.21189299,0.301029996,2012,new
61,2.49968783,0,0.301029996,2012,new
62,1.88649725,1.72427587,0.301029996,2012,new
63,3.22685757,3.151676231,0.301029996,2012,new
64,2.49968783,2.41161976,0.301029996,2012,new
65,2.274157849,1.755874856,0.301029996,2012,new
66,0.845984,0.845984,0.301029996,2012,new
67,2.777426822,1.477121255,0.301029996,2012,new
68,1.531478917,0.3129996,0.301029996,2012,new
69,0,0,0.301029996,2012,new
70,0.6259991,0.477121255,0.301029996,2012,new
71,3.58994961,3.273464273,0.301029996,2012,new
72,2.562292864,1.79181246,0.301029996,2012,new
73,0.77815125,0,0.301029996,2012,new
74,2.8278537,1.95424259,0.301029996,2012,new
75,2.54537116,2.75127914,0.301029996,2012,new
76,4.93596769,4.272143418,0.301029996,2012,new
77,0.698974,0.3129996,0.301029996,2012,new
78,1.397949,0.95424259,0.301029996,2012,new
79,1.51851394,1.51851394,0.301029996,2012,new
80,0.698974,0.698974,0.301029996,2012,new
81,1.79181246,1,0.301029996,2012,new
82,1.25527255,0.477121255,0.301029996,2012,new
83,0,0,0.301029996,2012,new
84,3.76196229,3.575418791,0.301029996,2012,new
85,2.193124598,1.89762791,0.301029996,2012,new
86,0.477121255,0.477121255,0.301029996,2012,new
87,1.5916467,1.44715831,0.301029996,2012,new
88,3.359835482,3.137545,0.301029996,2012,new
89,1.939519253,1.113943352,0.301029996,2012,new
90,1.5446844,1.681241237,0.301029996,2012,new
91,1.462397998,0.77815125,0.301029996,2012,new
92,4.413986714,4.325125526,0.301029996,2012,new
93,2.95851459,2.868583,0.301029996,2012,new
94,0.698974,0.698974,0.301029996,2012,new
95,2.269512944,2.5694851,0.301029996,2012,new
96,0.3129996,0.3129996,0.301029996,2012,new
97,1.62324929,1.397949,0.301029996,2012,new
98,1.8267483,1.7757176,0.301029996,2012,new
99,0,0,0.301029996,2012,new
100,0.698974,0.3129996,0.301029996,2012,new
101,0,0,0.301029996,2012,new
102,2.294466226,1.51851394,0.301029996,2012,new
103,0.477121255,0.3129996,0.301029996,2012,new
104,1.86179974,0.3129996,0.301029996,2012,new
105,3.218272854,2.92123326,0.301029996,2012,new
106,1.51851394,0.95424259,0.301029996,2012,new
107,1.8267483,0.95424259,0.301029996,2012,new
108,0,0,0.301029996,2012,new
