to_Issue_number,Label,PR_number,Created_at,additions
26853,NULL,26861,2015-07-07T17:49:56Z,58
26742,NULL,26861,2015-07-07T17:49:56Z,58
26853,NULL,26861,2015-07-07T17:49:56Z,200
26742,NULL,26861,2015-07-07T17:49:56Z,200
26854,NULL,26861,2015-07-07T17:49:56Z,200
26855,NULL,26861,2015-07-07T17:49:56Z,0
26855,NULL,26861,2015-07-07T17:49:56Z,0
26857,NULL,26861,2015-07-07T17:49:56Z,0
26796,NULL,26861,2015-07-07T17:49:56Z,289
26852,NULL,26861,2015-07-07T17:49:56Z,289
26852,NULL,26861,2015-07-07T17:49:56Z,289
26853,NULL,26861,2015-07-07T17:49:56Z,949
26742,NULL,26861,2015-07-07T17:49:56Z,949
26854,NULL,26861,2015-07-07T17:49:56Z,949
26854,NULL,26861,2015-07-07T17:49:56Z,25
26855,NULL,26861,2015-07-07T17:49:56Z,25
26857,NULL,26861,2015-07-07T17:49:56Z,3
26796,NULL,26861,2015-07-07T17:49:56Z,3
26857,NULL,26861,2015-07-07T17:49:56Z,3
26599,NULL,26863,2015-07-07T17:57:04Z,11
26599,NULL,26863,2015-07-07T17:57:04Z,11
26599,NULL,26863,2015-07-07T17:57:04Z,2
24407,NULL,26879,2015-07-08T10:57:58Z,2
24407,NULL,26879,2015-07-08T10:57:58Z,2
24407,NULL,26879,2015-07-08T10:57:58Z,66
26691,NULL,26883,2015-07-08T12:29:54Z,66
26691,NULL,26883,2015-07-08T12:29:54Z,66
26867,A-libs;E-easy,26885,2015-07-08T13:09:35Z,48
26867,A-libs;E-easy,26885,2015-07-08T13:09:35Z,48
4951,A-resolve;I-cleanup,26889,2015-07-08T14:32:32Z,4
4951,A-resolve;I-cleanup,26889,2015-07-08T17:05:22Z,4
26552,NULL,26891,2015-07-08T17:05:22Z,40
26552,NULL,26891,2015-07-08T17:05:22Z,40
26552,NULL,26891,2015-07-08T17:09:21Z,22
26482,NULL,26892,2015-07-08T17:09:21Z,22
26482,NULL,26892,2015-07-08T17:09:21Z,10
26482,NULL,26892,2015-07-08T18:34:27Z,10
26687,NULL,26894,2015-07-08T18:34:27Z,62
26784,NULL,26894,2015-07-08T18:34:27Z,62
26687,NULL,26894,2015-07-08T18:34:27Z,62
26891,NULL,26894,2015-07-08T18:34:27Z,0
26892,NULL,26894,2015-07-08T18:34:27Z,4
26892,NULL,26894,2015-07-08T18:34:27Z,4
26893,NULL,26894,2015-07-08T18:34:27Z,4
26687,NULL,26894,2015-07-08T18:34:27Z,5
26850,NULL,26894,2015-07-08T18:34:27Z,5
26889,NULL,26894,2015-07-08T18:34:27Z,5
26687,NULL,26894,2015-07-08T18:34:27Z,10
26784,NULL,26894,2015-07-08T18:34:27Z,10
26889,NULL,26894,2015-07-08T18:34:27Z,10
26687,NULL,26894,2015-07-08T18:34:27Z,61
26891,NULL,26894,2015-07-08T18:34:27Z,61
26891,NULL,26894,2015-07-08T18:34:27Z,61
26892,NULL,26894,2015-07-08T18:34:27Z,316
26893,NULL,26894,2015-07-08T18:34:27Z,316
26893,NULL,26894,2015-07-08T18:34:27Z,316
26850,NULL,26894,2015-07-08T18:34:27Z,26
26687,NULL,26894,2015-07-08T20:03:13Z,26
26784,NULL,26894,2015-07-08T20:03:13Z,26
26850,NULL,26894,2015-07-08T20:03:13Z,1
26889,NULL,26894,2015-07-08T21:41:23Z,1
26890,A-io;T-libs,26897,2015-07-08T21:41:23Z,1
26890,A-io;T-libs,26897,2015-07-08T23:05:24Z,539
26890,A-io;T-libs,26897,2015-07-09T16:52:58Z,539
26579,NULL,26901,2015-07-09T16:52:58Z,1
26698,NULL,26901,2015-07-09T16:52:58Z,25
26849,relnotes,26904,2015-07-09T23:47:21Z,158
26915,A-llvm;I-ICE;T-compiler,26919,2015-07-09T23:47:21Z,64
26915,A-llvm;I-ICE;T-compiler,26919,2015-07-09T23:47:21Z,331
26915,A-llvm;I-ICE;T-compiler,26919,2015-07-10T07:06:43Z,5
26716,NULL,26929,2015-07-10T07:06:43Z,38
26716,NULL,26929,2015-07-10T07:06:43Z,12
26716,NULL,26929,2015-07-10T09:53:20Z,80
26697,B-RFC-approved,26931,2015-07-10T09:53:20Z,8
26697,B-RFC-approved,26931,2015-07-10T09:53:20Z,8
26697,B-RFC-approved,26931,2015-07-10T12:52:13Z,8
25097,NULL,26934,2015-07-10T12:52:13Z,1
25097,NULL,26934,2015-07-10T12:52:13Z,1
25097,NULL,26934,2015-07-10T17:46:02Z,1
26923,NULL,26936,2015-07-10T17:46:02Z,35
26923,NULL,26936,2015-07-10T17:46:02Z,35
26923,NULL,26936,2015-07-10T17:46:02Z,601
26216,NULL,26942,2015-07-10T17:46:02Z,601
26903,NULL,26942,2015-07-10T17:46:02Z,601
26932,NULL,26942,2015-07-10T17:46:02Z,788
26903,NULL,26942,2015-07-10T17:46:02Z,40
26936,NULL,26942,2015-07-10T17:46:02Z,40
26936,NULL,26942,2015-07-10T17:46:02Z,225
26216,NULL,26942,2015-07-10T17:46:02Z,225
26932,NULL,26942,2015-07-10T17:46:02Z,225
26903,NULL,26942,2015-07-10T21:11:47Z,39
26932,NULL,26942,2015-07-10T21:11:47Z,39
26936,NULL,26942,2015-07-10T21:11:47Z,39
26216,NULL,26942,2015-07-10T23:33:20Z,8
26782,NULL,26947,2015-07-10T23:33:20Z,8
26782,NULL,26947,2015-07-10T23:33:20Z,8
26782,NULL,26947,2015-07-10T23:33:20Z,109
23842,NULL,26955,2015-07-10T23:33:20Z,109
23842,NULL,26955,2015-07-10T23:33:20Z,109
18726,A-libs;I-crash;I-nominated;I-wrong,26955,2015-07-10T23:39:49Z,51
18726,A-libs;I-crash;I-nominated;I-wrong,26955,2015-07-10T23:39:49Z,51
23842,NULL,26955,2015-07-10T23:39:49Z,51
18726,A-libs;I-crash;I-nominated;I-wrong,26955,2015-07-11T07:40:14Z,4
26900,A-libs;B-RFC-approved;E-easy,26957,2015-07-11T07:40:14Z,4
26900,A-libs;B-RFC-approved;E-easy,26957,2015-07-11T07:40:14Z,4
26900,A-libs;B-RFC-approved;E-easy,26957,2015-07-11T07:40:14Z,20
26943,relnotes,26961,2015-07-11T07:40:14Z,20
26932,NULL,26961,2015-07-11T07:40:14Z,20
26944,NULL,26961,2015-07-11T07:40:14Z,302
26936,NULL,26961,2015-07-11T07:40:14Z,302
26943,relnotes,26961,2015-07-11T10:48:02Z,302
26932,NULL,26961,2015-07-11T10:48:02Z,1
26944,NULL,26961,2015-07-11T10:48:02Z,1
26936,NULL,26961,2015-07-11T11:33:43Z,1
24407,NULL,26963,2015-07-11T11:33:43Z,2
24407,NULL,26963,2015-07-11T11:33:43Z,2
24407,NULL,26963,2015-07-11T11:58:15Z,2
26964,NULL,26965,2015-07-11T11:58:15Z,77
26964,NULL,26965,2015-07-11T11:58:15Z,77
26964,NULL,26965,2015-07-12T00:45:58Z,77
26906,A-libs;B-RFC-approved,26966,2015-07-12T00:45:58Z,32
26906,A-libs;B-RFC-approved,26966,2015-07-12T00:45:58Z,32
26906,A-libs;B-RFC-approved,26966,2015-07-12T03:05:53Z,32
26845,A-docs,26981,2015-07-12T03:05:53Z,166
26845,A-docs,26981,2015-07-12T03:05:53Z,166
26845,A-docs,26981,2015-07-12T03:05:53Z,166
26290,NULL,26982,2015-07-12T03:05:53Z,638
24407,NULL,26982,2015-07-12T03:05:53Z,638
24407,NULL,26982,2015-07-12T07:33:01Z,638
26290,NULL,26982,2015-07-12T07:33:01Z,109
24407,NULL,26982,2015-07-12T07:33:01Z,109
26290,NULL,26982,2015-07-12T07:35:55Z,109
26982,NULL,26984,2015-07-12T07:35:55Z,57
26982,NULL,26984,2015-07-12T07:35:55Z,57
26982,NULL,26984,2015-07-12T07:35:55Z,57
26967,NULL,26985,2015-07-12T07:35:55Z,155
26979,NULL,26985,2015-07-12T07:35:55Z,155
26979,NULL,26985,2015-07-12T07:35:55Z,155
26973,NULL,26985,2015-07-12T07:35:55Z,361
26881,NULL,26985,2015-07-12T07:35:55Z,361
26973,NULL,26985,2015-07-12T07:35:55Z,361
26881,NULL,26985,2015-07-12T07:35:55Z,15
26974,NULL,26985,2015-07-12T07:35:55Z,15
26976,NULL,26985,2015-07-12T07:35:55Z,712
26976,NULL,26985,2015-07-12T07:35:55Z,712
26967,NULL,26985,2015-07-12T07:35:55Z,712
26967,NULL,26985,2015-07-12T07:35:55Z,16
26979,NULL,26985,2015-07-12T07:35:55Z,16
26973,NULL,26985,2015-07-12T07:35:55Z,16
26881,NULL,26985,2015-07-12T18:55:16Z,110
26974,NULL,26985,2015-07-12T18:55:16Z,110
26974,NULL,26985,2015-07-12T18:55:16Z,110
26976,NULL,26985,2015-07-12T22:44:15Z,1
19533,A-debuginfo,26993,2015-07-12T22:44:15Z,1
19533,A-debuginfo,26993,2015-07-12T22:44:15Z,1
19533,A-debuginfo,26993,2015-07-13T02:57:32Z,6
26944,NULL,26999,2015-07-13T02:57:32Z,6
26944,NULL,26999,2015-07-13T02:57:32Z,6
26944,NULL,26999,2015-07-13T06:49:11Z,1
26493,NULL,27003,2015-07-13T06:49:11Z,1
26493,NULL,27003,2015-07-13T06:49:11Z,1
26493,NULL,27003,2015-07-13T11:27:04Z,15
26653,NULL,27006,2015-07-13T11:27:04Z,15
26653,NULL,27006,2015-07-13T11:27:04Z,15
26653,NULL,27006,2015-07-13T11:58:02Z,1
26996,A-codegen;I-wrong,27011,2015-07-13T11:58:02Z,1
26996,A-codegen;I-wrong,27011,2015-07-13T11:58:02Z,1
26996,A-codegen;I-wrong,27011,2015-07-13T13:25:40Z,229
26689,NULL,27012,2015-07-13T13:25:40Z,229
26689,NULL,27012,2015-07-13T13:25:40Z,229
26689,NULL,27012,2015-07-13T17:18:03Z,0
24523,NULL,27013,2015-07-13T17:18:03Z,0
24523,NULL,27013,2015-07-13T18:04:56Z,0
24523,NULL,27013,2015-07-13T18:04:56Z,0
25594,NULL,27017,2015-07-13T18:04:56Z,0
25594,NULL,27017,2015-07-13T22:19:03Z,0
26948,I-ICE,27018,2015-07-13T22:19:03Z,26
26948,I-ICE,27018,2015-07-13T22:19:03Z,26
26948,I-ICE,27018,2015-07-13T22:19:03Z,26
26840,A-diagnostics,27026,2015-07-13T22:19:03Z,92
26840,A-diagnostics,27026,2015-07-13T22:19:03Z,92
25206,NULL,27026,2015-07-13T22:19:03Z,92
24676,NULL,27026,2015-07-13T22:19:03Z,19
24676,NULL,27026,2015-07-13T22:19:03Z,19
26840,A-diagnostics,27026,2015-07-14T12:34:51Z,19
25206,NULL,27026,2015-07-14T12:34:51Z,22
25206,NULL,27026,2015-07-15T05:21:25Z,22
24676,NULL,27026,2015-07-15T05:21:25Z,22
26654,A-windows,27036,2015-07-15T05:21:25Z,66
26654,A-windows,27036,2015-07-15T05:21:25Z,66
23311,NULL,27050,2015-07-15T05:21:25Z,66
20046,NULL,27050,2015-07-15T05:21:25Z,37
24875,NULL,27050,2015-07-15T05:21:25Z,37
26251,NULL,27050,2015-07-15T05:21:25Z,37
19064,NULL,27050,2015-07-15T05:21:25Z,12
26989,I-ICE,27050,2015-07-15T05:21:25Z,12
26989,I-ICE,27050,2015-07-15T05:21:25Z,12
23311,NULL,27050,2015-07-15T05:21:25Z,111
18060,NULL,27050,2015-07-15T05:21:25Z,111
20046,NULL,27050,2015-07-15T05:21:25Z,111
24875,NULL,27050,2015-07-15T21:46:02Z,15
26251,NULL,27050,2015-07-15T21:46:02Z,15
19064,NULL,27050,2015-07-16T03:51:57Z,15
26989,I-ICE,27050,2015-07-16T03:51:57Z,25
26989,I-ICE,27050,2015-07-16T06:38:41Z,24
18060,NULL,27050,2015-07-16T06:38:41Z,24
23812,NULL,27056,2015-07-16T07:25:40Z,24
23812,NULL,27056,2015-07-16T07:25:40Z,2
27059,NULL,27061,2015-07-16T19:02:27Z,2
27059,NULL,27061,2015-07-16T19:55:57Z,2
27062,B-RFC-approved,27064,2015-07-17T08:06:25Z,18
27062,B-RFC-approved,27064,2015-07-17T08:06:25Z,18
27042,A-parser;E-easy,27065,2015-07-17T08:06:25Z,18
27042,A-parser;E-easy,27065,2015-07-17T08:06:25Z,1
22642,NULL,27073,2015-07-17T08:06:25Z,1
27014,A-rustdoc,27074,2015-07-17T08:06:25Z,1
27070,NULL,27082,2015-07-17T08:06:25Z,3
27038,NULL,27082,2015-07-17T12:00:27Z,3
27080,NULL,27082,2015-07-17T14:27:46Z,3
27034,NULL,27082,2015-07-17T14:45:12Z,2354
25993,NULL,27082,2015-07-17T15:04:08Z,2354
27064,NULL,27082,2015-07-17T15:04:08Z,2354
27069,beta-accepted;T-libs,27082,2015-07-17T18:08:46Z,38
24407,NULL,27084,2015-07-17T18:08:46Z,38
17546,A-diagnostics,27085,2015-07-17T18:35:37Z,38
25954,NULL,27087,2015-07-17T18:35:37Z,1
26939,NULL,27088,2015-07-17T19:44:05Z,1
26939,NULL,27088,2015-07-17T21:13:17Z,1
25343,NULL,27093,2015-07-17T21:13:17Z,21
25343,NULL,27093,2015-07-17T21:13:17Z,21
26977,NULL,27094,2015-07-17T21:13:17Z,21
26977,NULL,27094,2015-07-17T21:13:17Z,71
26217,NULL,27096,2015-07-17T21:13:17Z,71
26777,NULL,27098,2015-07-17T21:13:17Z,71
27091,NULL,27098,2015-07-18T16:26:43Z,4
27094,NULL,27098,2015-07-18T21:41:07Z,4
27067,NULL,27098,2015-07-18T22:18:59Z,4
27071,NULL,27098,2015-07-19T01:15:46Z,2
27095,NULL,27098,2015-07-19T01:15:46Z,2
27081,NULL,27098,2015-07-19T14:19:52Z,2
24407,NULL,27111,2015-07-19T14:19:52Z,10
14821,NULL,27117,2015-07-19T19:39:58Z,10
20825,A-associated-items;I-ICE,27118,2015-07-19T19:39:58Z,10
21332,NULL,27121,2015-07-19T19:47:25Z,397
21332,NULL,27121,2015-07-19T19:47:25Z,397
24407,NULL,27127,2015-07-19T21:05:20Z,23
24407,NULL,27127,2015-07-19T21:05:20Z,23
20162,NULL,27131,2015-07-19T22:48:00Z,23
20162,NULL,27131,2015-07-19T22:48:00Z,5
23491,NULL,27132,2015-07-20T05:17:55Z,5
23491,NULL,27132,2015-07-20T05:17:55Z,5
15919,NULL,27133,2015-07-20T08:12:26Z,3
15919,NULL,27133,2015-07-20T08:12:26Z,3
25022,NULL,27134,2015-07-20T08:12:26Z,3
25022,NULL,27134,2015-07-20T08:12:26Z,2
25750,NULL,27138,2015-07-20T08:12:26Z,2
25750,NULL,27138,2015-07-20T08:12:26Z,2
24416,NULL,27139,2015-07-20T08:36:09Z,84
26484,A-debuginfo,27139,2015-07-20T08:36:09Z,84
26447,NULL,27139,2015-07-20T08:36:09Z,84
24416,NULL,27139,2015-07-20T08:36:09Z,92
26447,NULL,27139,2015-07-20T12:32:32Z,92
26484,A-debuginfo,27139,2015-07-20T12:32:32Z,92
27076,NULL,27140,2015-07-20T12:41:23Z,47
26468,I-wrong,27140,2015-07-20T12:41:23Z,47
27076,NULL,27140,2015-07-20T14:48:46Z,47
26468,I-wrong,27140,2015-07-20T14:48:46Z,1
14229,NULL,27146,2015-07-20T17:00:01Z,1
14229,NULL,27146,2015-07-20T17:00:01Z,49
19404,NULL,27147,2015-07-20T17:31:35Z,49
19404,NULL,27147,2015-07-20T17:31:35Z,49
24570,A-libs,27150,2015-07-20T23:15:23Z,5442
24570,A-libs,27150,2015-07-20T23:15:23Z,5442
10436,A-typesystem,27154,2015-07-21T08:47:22Z,5442
10436,A-typesystem,27154,2015-07-21T11:05:06Z,2
10436,A-typesystem,27154,2015-07-21T16:40:52Z,2
10436,A-typesystem,27154,2015-07-21T17:18:09Z,2
14382,NULL,27158,2015-07-21T17:18:09Z,378
14382,NULL,27158,2015-07-21T17:18:09Z,378
26602,A-windows,27172,2015-07-21T17:18:09Z,8
26602,A-windows,27172,2015-07-21T17:18:09Z,8
27130,I-slow,27180,2015-07-21T17:18:09Z,8
27130,I-slow,27180,2015-07-21T17:18:09Z,61
24407,NULL,27182,2015-07-21T17:18:09Z,61
25685,NULL,27193,2015-07-21T17:18:09Z,61
27127,NULL,27194,2015-07-21T17:18:09Z,4
27140,NULL,27194,2015-07-21T17:18:09Z,4
27147,NULL,27194,2015-07-21T17:18:09Z,4
27157,NULL,27194,2015-07-21T17:18:09Z,0
27164,NULL,27194,2015-07-21T18:08:17Z,0
27146,NULL,27194,2015-07-21T18:08:17Z,0
27156,NULL,27194,2015-07-21T19:04:39Z,157
27154,NULL,27194,2015-07-21T19:04:39Z,157
26778,NULL,27194,2015-07-21T19:04:39Z,157
27167,NULL,27194,2015-07-21T19:04:39Z,97
27131,NULL,27194,2015-07-21T19:04:39Z,97
27151,NULL,27194,2015-07-21T19:04:39Z,9
27158,NULL,27194,2015-07-21T19:04:39Z,9
23364,NULL,27197,2015-07-21T19:04:39Z,53
1210,NULL,27197,2015-07-21T19:04:39Z,53
27154,NULL,27199,2015-07-21T19:04:39Z,559
26778,NULL,27199,2015-07-21T19:04:39Z,559
27167,NULL,27199,2015-07-21T19:04:39Z,24
27155,NULL,27199,2015-07-21T19:04:39Z,24
27131,NULL,27199,2015-07-21T19:04:39Z,2
27151,NULL,27199,2015-07-21T19:04:39Z,2
27170,NULL,27199,2015-07-21T19:04:39Z,142
27084,NULL,27199,2015-07-21T19:04:39Z,142
27158,NULL,27199,2015-07-21T19:04:39Z,0
27166,NULL,27199,2015-07-21T21:09:20Z,0
27175,NULL,27199,2015-07-21T23:00:24Z,195
27127,NULL,27199,2015-07-21T23:00:24Z,195
27140,NULL,27199,2015-07-21T23:00:24Z,49
27147,NULL,27199,2015-07-21T23:00:24Z,49
27157,NULL,27199,2015-07-21T23:00:24Z,1840
27164,NULL,27199,2015-07-21T23:00:24Z,1840
27146,NULL,27199,2015-07-21T23:00:24Z,6
27156,NULL,27199,2015-07-21T23:00:24Z,6
27162,A-parser;T-compiler,27203,2015-07-21T23:00:24Z,1
27175,NULL,27206,2015-07-21T23:00:24Z,1
27127,NULL,27206,2015-07-21T23:00:24Z,1
27140,NULL,27206,2015-07-21T23:00:24Z,1
27147,NULL,27206,2015-07-21T23:00:24Z,98
27202,NULL,27206,2015-07-21T23:00:24Z,69
27157,NULL,27206,2015-07-21T23:00:24Z,60
27164,NULL,27206,2015-07-21T23:00:24Z,3
27146,NULL,27206,2015-07-21T23:00:24Z,193
27156,NULL,27206,2015-07-21T23:00:24Z,1
27201,NULL,27206,2015-07-21T23:00:24Z,1
27154,NULL,27206,2015-07-21T23:00:24Z,1
26778,NULL,27206,2015-07-21T23:00:24Z,1
27167,NULL,27206,2015-07-22T02:46:08Z,113
27155,NULL,27206,2015-07-22T02:46:08Z,154
27193,NULL,27206,2015-07-22T02:46:08Z,78
27131,NULL,27206,2015-07-22T02:46:08Z,539
27151,NULL,27206,2015-07-22T02:46:08Z,4
27170,NULL,27206,2015-07-22T02:46:08Z,4
27084,NULL,27206,2015-07-22T02:46:08Z,2
27158,NULL,27206,2015-07-22T02:46:08Z,2
27166,NULL,27206,2015-07-22T02:46:08Z,22
27156,NULL,27207,2015-07-22T02:46:08Z,22
27201,NULL,27207,2015-07-22T02:46:08Z,2
27154,NULL,27207,2015-07-22T02:46:08Z,2
26778,NULL,27207,2015-07-22T02:46:08Z,1
27167,NULL,27207,2015-07-22T02:46:08Z,1
27155,NULL,27207,2015-07-22T02:46:08Z,40
27131,NULL,27207,2015-07-22T02:46:08Z,136
27151,NULL,27207,2015-07-22T02:46:08Z,60
27170,NULL,27207,2015-07-22T02:46:08Z,38
27084,NULL,27207,2015-07-22T02:46:08Z,7
27158,NULL,27207,2015-07-22T02:46:08Z,23
27166,NULL,27207,2015-07-22T04:33:13Z,23
27175,NULL,27207,2015-07-22T04:33:13Z,86
27127,NULL,27207,2015-07-22T05:22:03Z,120
27140,NULL,27207,2015-07-22T05:22:03Z,17
27147,NULL,27207,2015-07-22T05:22:03Z,40
27202,NULL,27207,2015-07-22T05:22:03Z,28
27157,NULL,27207,2015-07-22T05:22:03Z,39
27164,NULL,27207,2015-07-22T05:22:03Z,34
27146,NULL,27207,2015-07-22T05:22:03Z,44
26591,NULL,27208,2015-07-22T05:22:03Z,44
26591,NULL,27208,2015-07-22T05:22:03Z,2
27084,NULL,27209,2015-07-22T05:22:03Z,2
27158,NULL,27209,2015-07-22T05:22:03Z,28
27166,NULL,27209,2015-07-22T05:22:03Z,28
27175,NULL,27209,2015-07-22T05:22:03Z,21
27127,NULL,27209,2015-07-22T05:22:03Z,21
27140,NULL,27209,2015-07-22T05:22:03Z,17
27147,NULL,27209,2015-07-22T05:22:03Z,17
27202,NULL,27209,2015-07-22T05:22:03Z,17
27157,NULL,27209,2015-07-22T05:22:03Z,17
27164,NULL,27209,2015-07-22T05:22:03Z,21
27146,NULL,27209,2015-07-22T05:22:03Z,21
27156,NULL,27209,2015-07-22T12:53:27Z,11
27201,NULL,27209,2015-07-22T13:19:59Z,11
27154,NULL,27209,2015-07-22T13:39:55Z,1046
26778,NULL,27209,2015-07-22T13:39:55Z,1
27167,NULL,27209,2015-07-22T14:28:39Z,1
27155,NULL,27209,2015-07-22T14:28:39Z,1
27131,NULL,27209,2015-07-22T14:28:39Z,1
27151,NULL,27209,2015-07-22T14:28:39Z,16
27170,NULL,27209,2015-07-22T14:28:39Z,16
24407,NULL,27212,2015-07-22T14:28:39Z,17
27159,NULL,27213,2015-07-22T14:28:39Z,17
22181,NULL,27215,2015-07-22T14:28:39Z,38
26180,NULL,27215,2015-07-22T14:28:39Z,38
27146,NULL,27216,2015-07-22T14:28:39Z,0
27156,NULL,27216,2015-07-22T14:28:39Z,0
27201,NULL,27216,2015-07-22T14:28:39Z,1
27154,NULL,27216,2015-07-22T14:28:39Z,1
26778,NULL,27216,2015-07-22T14:28:39Z,51
27167,NULL,27216,2015-07-22T14:28:39Z,51
27155,NULL,27216,2015-07-22T14:28:39Z,30
27131,NULL,27216,2015-07-22T14:28:39Z,30
27151,NULL,27216,2015-07-22T14:28:39Z,47
27170,NULL,27216,2015-07-22T14:28:39Z,47
27084,NULL,27216,2015-07-22T14:28:39Z,15
27158,NULL,27216,2015-07-22T16:56:53Z,15
27166,NULL,27216,2015-07-22T16:56:53Z,4
27175,NULL,27216,2015-07-22T16:56:53Z,4
27127,NULL,27216,2015-07-22T16:56:53Z,5
27140,NULL,27216,2015-07-22T16:56:53Z,5
27147,NULL,27216,2015-07-22T16:56:53Z,20
27202,NULL,27216,2015-07-22T16:56:53Z,20
27157,NULL,27216,2015-07-22T16:56:53Z,97
27164,NULL,27216,2015-07-22T16:56:53Z,97
27131,NULL,27219,2015-07-22T16:56:53Z,1
27151,NULL,27219,2015-07-22T16:56:53Z,1
27170,NULL,27219,2015-07-22T16:56:53Z,28
27084,NULL,27219,2015-07-22T16:56:53Z,28
27158,NULL,27219,2015-07-22T16:56:53Z,24
27166,NULL,27219,2015-07-22T16:56:53Z,24
27175,NULL,27219,2015-07-22T16:56:53Z,22
27127,NULL,27219,2015-07-22T16:56:53Z,22
27140,NULL,27219,2015-07-22T16:56:53Z,0
27147,NULL,27219,2015-07-22T16:56:53Z,0
