label,new,old
Unlabeled,611,5641
A-NLL,0,15
A-allocators,4,7
A-amusing,0,0
A-associated-items,7,59
A-async-await,0,0
A-attributes,0,9
A-bitrig,0,0
A-bsd,0,0
A-build,0,63
A-closures,1,30
A-codegen,3,133
A-collections,0,5
A-concurrency,0,7
A-const-fn,12,13
A-debuginfo,11,27
A-destructors,0,4
A-diagnostics,241,321
A-docs,205,143
A-dragonflybsd,0,0
A-dst,6,0
A-edition-2018-lints,0,0
A-frontend,3,13
A-hir,0,0
A-infrastructure,13,69
A-io,0,10
A-iterators,0,0
A-lang,26,11
A-libs,14,101
A-lifetimes,8,5
A-linkage,21,24
A-lint,18,50
A-linux,1,1
A-llvm,1,25
A-macros,4,92
A-mir,10,93
A-openbsd,0,0
A-parallel-queries,0,0
A-parser,17,40
A-plugin,2,42
A-resolve,5,12
A-runtime,0,0
A-rust-2018-preview,0,0
A-rustbuild,33,124
A-rustdoc,26,209
A-save-analysis,0,14
A-stability,0,0
A-syntaxext,2,25
A-testsuite,27,53
A-tools,10,3
A-traits,9,111
A-typesystem,22,178
A-unicode,1,1
A-windows,1,45
T-compiler,305,1232
T-core,1,8
T-dev-tools,20,427
T-dev-tools-rustdoc,8,17
T-doc,213,274
T-infra,29,238
T-lang,88,578
T-libs,85,436
T-release,0,0
T-rustdoc,0,0
