label,new,old
Unlabeled,487,6264
A-NLL,102,943
A-allocators,6,126
A-amusing,0,13
A-associated-items,0,42
A-async-await,0,1
A-attributes,22,35
A-bitrig,0,0
A-bsd,0,0
A-build,1,35
A-closures,0,15
A-codegen,7,74
A-collections,0,6
A-concurrency,0,0
A-const-fn,5,291
A-debuginfo,2,59
A-destructors,0,7
A-diagnostics,193,1181
A-docs,17,47
A-dragonflybsd,0,0
A-dst,0,0
A-edition-2018-lints,0,86
A-frontend,9,11
A-hir,0,2
A-infrastructure,0,7
A-io,4,12
A-iterators,0,9
A-lang,0,5
A-libs,0,80
A-lifetimes,4,80
A-linkage,13,30
A-lint,43,180
A-linux,0,0
A-llvm,7,89
A-macros,13,171
A-mir,2,174
A-openbsd,0,0
A-parallel-queries,13,4
A-parser,31,149
A-plugin,1,22
A-resolve,16,227
A-runtime,0,6
A-rust-2018-preview,0,116
A-rustbuild,29,208
A-rustdoc,12,295
A-save-analysis,0,6
A-stability,0,6
A-syntaxext,2,13
A-testsuite,38,162
A-tools,0,8
A-traits,4,145
A-typesystem,9,317
A-unicode,0,14
A-windows,0,4
T-compiler,195,2510
T-core,0,9
T-dev-tools,34,233
T-dev-tools-rustdoc,2,43
T-doc,69,307
T-infra,37,375
T-lang,35,1050
T-libs,113,1039
T-release,0,60
T-rustdoc,13,245
