survived,year of survival,num_easy_y1,effort_y1
1,2014,0,559
0,0,1,51
1,2016,0,2
0,0,2,31
0,0,1,39
0,0,1,42
0,0,1,6
0,0,2,5
1,2015,0,12
0,0,0,2
0,0,0,31
0,0,0,2
0,0,3,226
0,0,0,14
0,0,0,12
1,2016,0,110
1,2016,0,15
0,0,0,150
0,0,0,16
0,0,0,113
1,2014,0,10818
0,0,0,30
0,0,0,2
0,0,0,8
0,0,0,4
0,0,0,12
0,0,0,538
0,0,0,65
1,2016,1,1673
1,2014,0,970
0,0,0,572
0,0,0,732
1,2016,0,31
0,0,0,4
0,0,0,2
0,0,0,25
0,0,0,4
0,0,0,4
0,0,0,18
0,0,0,2
0,0,0,20
0,0,1,6
0,0,0,70
1,2015,0,12316
0,0,0,4160
1,2017,0,73
0,0,0,16
0,0,2,20
0,0,0,77
0,0,0,2
0,0,0,5
0,0,0,4
0,0,0,2585
0,0,0,3
0,0,0,4
0,0,0,4
0,0,1,19
1,2015,0,545
0,0,0,42
0,0,1,2
0,0,0,470
0,0,0,146
1,2018,0,2292
0,0,0,14
0,0,0,2
0,0,0,3223
0,0,0,4
0,0,0,10
0,0,0,4
0,0,0,7
0,0,0,2
0,0,0,1
1,2014,0,3999
0,0,0,2
0,0,3,83
0,0,1,36
0,0,0,1113
1,2016,0,2
0,0,0,8
0,0,0,169
0,0,0,246
0,0,2,4348
1,2017,0,151
0,0,2,165
0,0,0,9
0,0,0,26
1,2015,0,5526
0,0,0,11
0,0,0,6
0,0,0,25
0,0,0,2
0,0,0,40
0,0,3,105
1,2017,2,13
1,2016,0,30
0,0,0,18
0,0,1,13
1,2015,2,867
0,0,0,25
0,0,0,2
0,0,0,184
0,0,0,8
1,2016,0,367
0,0,0,1
0,0,0,3
0,0,0,10
0,0,0,202
0,0,0,109
1,2017,0,560
0,0,0,915
0,0,0,17
1,2015,0,319
0,0,0,61
0,0,2,24
0,0,0,99
0,0,0,102
0,0,0,2
0,0,0,12
0,0,0,66
0,0,0,6
0,0,1,17
1,2015,0,44
0,0,0,16
0,0,0,3
0,0,0,33
0,0,0,6
0,0,0,46
0,0,1,2
0,0,1,30
0,0,0,3
1,2016,1,5973
0,0,0,103
0,0,0,4
0,0,0,26
0,0,0,80
0,0,0,6
1,2018,1,59
0,0,0,3
1,2011,0,2
0,0,0,9
0,0,0,2
0,0,0,210
1,2015,0,88
0,0,0,39
1,2015,0,19336
0,0,1,35
0,0,0,35
0,0,0,2
0,0,0,81
0,0,0,2
0,0,0,32
0,0,0,4
0,0,0,16
1,2015,0,550
0,0,1,301
1,2011,0,100
0,0,0,76
1,2015,0,156
0,0,0,45
1,2018,0,10
0,0,0,4
0,0,0,7
0,0,0,2
0,0,0,2
0,0,0,4
0,0,0,391
0,0,0,8
1,2015,0,363
0,0,0,3587
0,0,0,87661
0,0,0,2
0,0,0,2
0,0,0,688
0,0,0,2
0,0,0,821
0,0,1,213
0,0,1,1
0,0,0,6112
1,2017,7,241
0,0,0,2
0,0,0,194
1,2018,0,113
0,0,0,11
1,2014,0,183
0,0,1,87
0,0,0,90
0,0,0,4
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,2016,0,36
0,0,0,2
0,0,0,81
0,0,0,5
0,0,0,18
0,0,0,71
0,0,0,4
0,0,0,36
1,2017,0,1069
0,0,0,24
0,0,0,20
0,0,0,4
1,2018,0,1597
0,0,0,2667
1,2014,0,319
0,0,0,143
0,0,2,8
0,0,0,801
0,0,0,9
1,2016,0,4
0,0,0,3
0,0,1,13
0,0,2,25
0,0,0,2
0,0,0,49
1,2019,6,55
0,0,0,2
0,0,0,21
0,0,0,38
1,2015,0,4
1,2018,0,969
0,0,0,45
0,0,0,2
1,2017,0,12
0,0,0,5
0,0,8,794
0,0,0,345
0,0,0,6
0,0,2,99
0,0,0,29
0,0,0,3
0,0,0,314
1,2016,0,2
0,0,0,8
0,0,0,2302
0,0,0,4
0,0,0,369
0,0,0,2
1,2016,0,2
0,0,0,8
1,2014,0,529
0,0,0,2
0,0,0,3
1,2014,3,10794
0,0,0,12
0,0,4,438
0,0,1,53
0,0,1,11
1,2017,0,29
0,0,4,252
1,2013,0,2
0,0,0,10
0,0,0,14
0,0,0,199
0,0,0,55
1,2017,0,4
1,2016,0,1
0,0,0,4
0,0,0,4
0,0,0,21
0,0,0,15
0,0,0,71
0,0,0,71
1,2017,0,63
1,2015,0,5
0,0,0,20
1,2019,3,723
0,0,0,9
1,2017,0,8
0,0,0,74
0,0,0,2
1,2015,0,1932
1,2018,0,484
0,0,0,17
0,0,0,8
0,0,0,42
0,0,0,3
0,0,0,6
0,0,2,109
0,0,0,17
0,0,0,43
1,2015,0,2
0,0,0,33
0,0,0,6
1,2015,0,52
0,0,0,792
0,0,6,959
0,0,0,2
0,0,0,52
1,2012,0,1581
0,0,0,2
