effort_y2,year of survival,num_easy_y1,effort_y1
0,0,0,242
0,0,1,46
0,0,0,3061
334,2014,0,23
2,2015,0,12
0,0,0,8
119,2015,0,852
0,0,0,2
0,0,0,7
0,0,0,2
0,0,0,6
109,2014,0,109
0,0,2,63
0,0,0,8
2631,2018,0,1600
0,0,0,2
0,0,0,8
0,0,0,56636
0,0,0,2
0,0,0,61
0,0,0,2
0,0,0,92
0,0,1,40
0,0,0,164
0,0,0,4
0,0,0,4
0,0,6,156
7459,2013,0,2097
0,0,0,86
0,0,0,279
0,0,0,153
0,0,0,545
10,2014,0,716
0,0,4,71
0,0,0,101
0,0,0,2
0,0,0,631
0,0,0,26
0,0,0,21
0,0,0,49
0,0,0,1090
43,2014,0,3948
0,0,0,2
0,0,0,1
0,0,0,213
0,0,0,2
0,0,3,63
0,0,0,39
0,0,0,16
0,0,0,2
0,0,1,756
0,0,0,12
6,2016,0,104
0,0,0,52
0,0,0,2
0,0,0,14
84,2017,0,67
0,0,0,6
58,2017,0,894
0,0,0,315
0,0,0,9
0,0,0,10
948,2018,0,415
0,0,0,16
0,0,0,3276
0,0,0,73
585,2014,0,75
0,0,0,825
0,0,0,65
0,0,0,76
41,2016,0,54
106,2016,0,18
0,0,0,4
0,0,0,24
0,0,0,4
0,0,0,129
0,0,0,4
11,2019,0,374
0,0,0,64
34,2019,8,671
0,0,0,103
0,0,0,19
0,0,1,23
0,0,0,9
4,2016,0,17
0,0,0,30
0,0,0,56
0,0,0,20
0,0,0,9
4,2016,0,6
1266,2016,9,3408
0,0,0,3
0,0,0,31
0,0,0,34
0,0,0,2
0,0,1,357
12,2017,0,313
0,0,2,50
0,0,0,22
0,0,0,24
0,0,0,6
0,0,0,4
45,2016,1,400
0,0,0,120
0,0,0,4
0,0,0,53
0,0,0,15
0,0,0,6
0,0,0,147
0,0,0,6
0,0,0,284
0,0,1,30
123,2018,0,107
0,0,0,2
0,0,0,34
0,0,0,123
0,0,0,290
0,0,0,67
0,0,1,606
0,0,0,1
0,0,2,79
0,0,0,2
0,0,0,4
0,0,0,2
0,0,0,2
0,0,0,14
0,0,0,97
0,0,0,39
0,0,0,7
0,0,4,152
0,0,0,377
190,2015,0,2
0,0,0,108
0,0,0,10
0,0,0,4
1102,2015,0,1623
2,2015,0,35
0,0,0,12
0,0,0,4
0,0,0,159
0,0,7,599
0,0,4,11
41,2013,0,358
0,0,0,2
0,0,0,71
450,2015,0,303
42582,2018,1,329
118,2019,0,343
0,0,0,23
0,0,0,4
0,0,0,2
0,0,0,196
0,0,0,9
4,2017,0,4
0,0,0,82
5439,2014,0,5586
0,0,0,291
0,0,0,12
0,0,1,7
0,0,0,16
16,2015,0,2
0,0,0,9
0,0,0,2
0,0,1,186
83,2018,0,410
0,0,0,8
0,0,0,67
2,2019,0,2
0,0,0,6
0,0,0,571
0,0,0,26
