effort_y2,year_of_survival,num_easy_y1,effort_y1
3087,2019,0,32
3,2016,0,6
227,2014,0,2
174,2016,0,2506
61,2014,0,50
115,2016,3,157
26,2016,1,66
68,2014,0,1138
152,2019,0,56
567634,2018,0,1714
4,2018,0,18
2,2014,0,347
902,2016,0,247
63,2015,0,95
4,2018,0,16
8,2017,2,161
84,2015,0,70
314,2015,1,1318
802,2019,19,10419
898,2014,0,120
10,2017,0,126
8167,2017,6,458
499,2013,0,203
4,2015,0,10
6,2015,0,68
1,2014,0,538
44986,2014,0,363590
34,2015,0,2
16844,2017,0,235
45,2018,0,90
52,2017,7,8800
141,2018,2,1748
544,2018,2,8
38,2016,0,108
420,2014,0,19272
56,2015,0,248
12,2015,0,3181
34,2017,0,763
812,2017,3,89
2,2018,0,4
9519,2012,0,4912
2306,2015,0,74
622,2016,0,2
477,2017,0,2977
115,2014,0,477
65,2018,0,32
94,2015,0,8
2250,2014,0,44
314,2018,0,46
36,2014,0,193
115284,2014,0,309521
716,2015,0,13
5718,2012,0,2995
4,2016,0,31
12,2017,0,6
12,2016,2,38
86,2019,0,1168
815,2013,0,121
3734,2013,0,162
1240,2017,0,38562
1526,2016,0,172
2,2018,0,777
7,2013,0,16
8,2016,0,2
2985,2013,0,63
41,2018,0,423
11518,2013,0,35
2,2016,0,178
1678,2015,1,1376
44278,2015,1,90845
2,2015,0,2
49027,2015,0,71
37379,2015,0,1837
88,2016,0,689
6651,2013,0,328
1009,2015,0,5678
58,2016,0,469
389,2015,0,106
31,2016,0,214
4,2013,0,10
206,2015,0,2
1,2019,0,48
75,2018,0,2
42,2016,0,5
3343,2016,0,304
19,2013,0,76
45,2015,0,162
966,2015,0,204
1758,2015,0,63
627101,2014,1,311584
25,2016,1,215
6,2014,0,69
19,2015,0,606
1021,2015,0,147
1114,2019,1,55
113,2015,0,143
3396,2014,0,2326
184,2016,0,2
8,2018,1,2
60,2015,0,7
93,2018,1,607
1574,2018,0,2789
259,2016,0,37
