Month,A-NLL,A-allocators,A-amusing,A-associated-items,A-async-await,A-attributes,A-bitrig,A-bsd,A-build,A-closures,A-codegen,A-collections,A-concurrency,A-const-fn,A-debuginfo,A-destructors,A-diagnostics,A-docs,A-dragonflybsd,A-dst,A-edition-2018-lints,A-frontend,A-hir,A-infrastructure,A-io,A-iterators,A-lang,A-libs,A-lifetimes,A-linkage,A-lint,A-linux,A-llvm,A-macros,A-macros-1.2,A-mir,A-openbsd,A-parallel-queries,A-parser,A-plugin,A-resolve,A-runtime,A-rust-2018-preview,A-rustbuild,A-rustdoc,A-save-analysis,A-stability,A-syntaxext,A-testsuite,A-tools,A-traits,A-typesystem,A-unicode,A-windows,A-x86_64,T-compiler,T-core,T-dev-tools,T-dev-tools-rustdoc,T-doc,T-infra,T-lang,T-libs,T-release,T-rustdoc,Unlabeled
2013-05,0,0,0,0,0,0,0,0,584,0,600,0,0,0,0,0,6,8,0,0,0,301,0,0,0,0,0,26214,226,819,0,0,817,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,1165
2013-06,0,0,0,0,0,0,0,0,0,0,4812,0,0,0,0,0,42,0,0,0,0,2726,0,0,0,0,0,1514,0,27,0,0,4,0,0,0,0,0,262,0,76,926,0,0,0,0,0,155,424,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,188
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2098,0,0,0,0,0,0,0,0,0,1856,0,0,0,0,0,0,0,0,0,0,20,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,126,0,0,0,168,0,0,0,0,0,0,0,196,1,0,0,0,0,0,0,0,0,0,19,0,2093,0,0,0,0,0,0,0,0,0,0,0,3113
2013-09,0,0,0,0,0,0,0,0,8,0,51,0,0,0,0,0,0,3943,0,0,0,0,0,80,0,0,0,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,314,0,0,0,149,0,85,0,0,0,0,0,0,0,0,0,0,0,4298
2013-10,0,0,0,0,0,0,0,0,6,0,1356,0,0,0,0,0,119,9520,0,0,0,0,0,0,0,0,0,9883,0,0,11,12,0,0,0,0,0,0,964,0,46,1142,0,0,482,0,0,176,96,0,0,486,9081,219,0,0,0,0,0,0,0,0,0,0,0,61784
2013-11,0,0,0,0,0,0,0,0,0,0,200,0,0,0,76,53,80,1181,0,0,0,0,0,381,109,0,0,394,104,79,35,0,0,0,0,0,0,0,2502,0,0,964,0,0,2994,0,0,0,355,0,0,904,0,2703,0,0,0,0,0,0,0,0,0,0,0,2531
2013-12,0,0,0,0,0,0,0,0,1180,0,30,0,0,0,412,0,16,2269,0,0,0,0,0,0,7,0,0,2251,2205,672,307,0,10,0,0,0,0,0,200,0,0,506,0,0,0,0,0,0,495,0,0,253,0,12,0,0,0,0,0,0,0,0,0,0,0,7118
2014-01,0,0,0,0,0,0,0,0,46,0,437,0,3161,0,215,0,235,673,0,0,0,0,0,0,2229,0,0,14709,0,98,71,0,0,0,0,0,0,0,37,0,0,222,0,0,0,0,0,0,3,19,0,993,0,27,0,0,0,0,0,0,0,0,0,0,0,10839
2014-02,0,0,0,0,0,0,0,0,25,0,427,0,0,0,72,0,0,48,0,0,0,938,0,0,394,0,197,6831,171,0,1303,0,0,0,0,0,0,0,2641,0,0,372,0,0,550,0,0,12,8063,286,0,1677,413,39928,0,0,0,0,0,0,0,0,0,0,0,29947
