label,new,old
Unlabeled,650,5343
A-NLL,0,0
A-allocators,0,6
A-amusing,156,56
A-associated-items,1,4
A-async-await,0,0
A-attributes,0,19
A-bitrig,0,2
A-bsd,4,2
A-build,38,131
A-closures,0,2
A-codegen,6,101
A-collections,5,16
A-concurrency,0,1
A-const-fn,0,16
A-debuginfo,109,49
A-destructors,0,19
A-diagnostics,241,251
A-docs,76,153
A-dragonflybsd,0,1
A-dst,0,3
A-edition-2018-lints,0,0
A-frontend,9,44
A-hir,0,0
A-infrastructure,1,29
A-io,7,42
A-iterators,0,0
A-lang,3,46
A-libs,54,150
A-lifetimes,0,1
A-linkage,0,63
A-lint,2,34
A-linux,0,13
A-llvm,6,53
A-macros,14,100
A-mir,3,156
A-openbsd,0,1
A-parallel-queries,0,0
A-parser,4,41
A-plugin,0,2
A-resolve,1,80
A-runtime,0,2
A-rust-2018-preview,0,0
A-rustbuild,37,253
A-rustdoc,16,132
A-save-analysis,0,0
A-stability,0,1
A-syntaxext,3,27
A-testsuite,17,40
A-tools,11,46
A-traits,8,51
A-typesystem,1,101
A-unicode,0,3
A-windows,6,77
E-easy,272,350
T-compiler,66,595
T-core,0,0
T-dev-tools,0,16
T-dev-tools-rustdoc,0,0
T-doc,25,20
T-infra,0,1
T-lang,6,633
T-libs,56,412
T-release,0,0
T-rustdoc,0,0
