label,new,old
Unlabeled,1127,7154
A-NLL,0,0
A-allocators,0,9
A-amusing,7,18
A-associated-items,3,171
A-async-await,0,0
A-attributes,4,3
A-bitrig,2,0
A-bsd,10,3
A-build,20,78
A-closures,5,86
A-codegen,2,64
A-collections,3,40
A-concurrency,3,7
A-const-fn,1,4
A-debuginfo,16,73
A-destructors,0,25
A-diagnostics,87,199
A-docs,85,269
A-dragonflybsd,0,1
A-dst,1,19
A-edition-2018-lints,0,0
A-frontend,1,5
A-hir,2,3
A-infrastructure,4,69
A-io,9,25
A-iterators,0,29
A-lang,4,20
A-libs,64,298
A-lifetimes,2,24
A-linkage,1,15
A-lint,25,72
A-linux,2,3
A-llvm,1,35
A-macros,19,58
A-mir,2,26
A-openbsd,0,0
A-parallel-queries,0,0
A-parser,12,36
A-plugin,1,6
A-resolve,11,42
A-runtime,1,4
A-rust-2018-preview,0,0
A-rustbuild,0,0
A-rustdoc,39,84
A-save-analysis,0,0
A-stability,0,6
A-syntaxext,0,48
A-testsuite,15,38
A-tools,0,8
A-traits,6,129
A-typesystem,4,340
A-unicode,0,0
A-windows,8,51
E-easy,144,482
T-compiler,17,165
T-core,0,0
T-dev-tools,2,6
T-dev-tools-rustdoc,0,0
T-doc,0,3
T-infra,0,0
T-lang,8,246
T-libs,18,128
T-release,0,0
T-rustdoc,0,0
