open,additions,labels
2015-07-07T13:22:56Z,14,
2015-07-07T13:22:56Z,14,
2015-07-07T13:27:12Z,14,
2015-07-07T13:27:12Z,14,
2015-07-07T13:27:12Z,14,
2015-07-07T13:29:19Z,6,
2015-07-07T13:29:19Z,6,
2015-07-07T13:29:19Z,6,
2015-07-07T13:37:20Z,18,
2015-07-07T13:37:20Z,18,
2015-07-07T13:37:20Z,18,
2015-07-07T15:01:37Z,1,
2015-07-07T15:01:37Z,1,
2015-07-07T15:01:37Z,1,
2015-07-07T15:24:25Z,0,
2015-07-07T15:24:25Z,0,
2015-07-07T15:24:25Z,0,
2015-07-07T15:49:13Z,58,
2015-07-07T15:49:13Z,58,
2015-07-07T15:49:13Z,58,
2015-07-07T17:49:56Z,200,
2015-07-07T17:49:56Z,200,
2015-07-07T17:49:56Z,200,
2015-07-07T17:57:04Z,0,
2015-07-07T17:57:04Z,0,
2015-07-07T17:57:04Z,0,
2015-07-07T22:16:02Z,289,
2015-07-07T22:16:02Z,289,
2015-07-07T22:16:02Z,289,
2015-07-07T23:02:28Z,949,
2015-07-07T23:02:28Z,949,
2015-07-07T23:02:28Z,949,
2015-07-08T07:14:40Z,25,
2015-07-08T07:14:40Z,25,
2015-07-08T09:53:44Z,3,
2015-07-08T09:53:44Z,3,
2015-07-08T09:53:44Z,3,
2015-07-08T10:04:53Z,11,
2015-07-08T10:04:53Z,11,
2015-07-08T10:57:40Z,2,
2015-07-08T10:57:40Z,2,
2015-07-08T10:57:40Z,2,
2015-07-08T10:57:58Z,66,
2015-07-08T10:57:58Z,66,
2015-07-08T10:57:58Z,66,
2015-07-08T12:09:11Z,48,
2015-07-08T12:09:11Z,48,
2015-07-08T12:09:24Z,4,
2015-07-08T12:09:24Z,4,
2015-07-08T12:29:54Z,40,
2015-07-08T12:29:54Z,40,
2015-07-08T12:54:44Z,22,
2015-07-08T12:54:44Z,22,
2015-07-08T13:09:35Z,10,
2015-07-08T13:09:35Z,10,
2015-07-08T13:54:19Z,62,
2015-07-08T13:54:19Z,62,
2015-07-08T13:54:19Z,62,
2015-07-08T14:32:32Z,0,
2015-07-08T17:05:22Z,4,
2015-07-08T17:05:22Z,4,
2015-07-08T17:05:22Z,4,
2015-07-08T17:09:21Z,5,
2015-07-08T17:09:21Z,5,
2015-07-08T17:09:21Z,5,
2015-07-08T17:34:14Z,10,
2015-07-08T17:34:14Z,10,
2015-07-08T17:34:14Z,10,
2015-07-08T18:34:27Z,61,
2015-07-08T18:34:27Z,61,
2015-07-08T18:34:27Z,61,
2015-07-08T19:37:38Z,316,
2015-07-08T19:37:38Z,316,
2015-07-08T19:37:38Z,316,
2015-07-08T19:39:06Z,26,
2015-07-08T19:39:06Z,26,
2015-07-08T19:39:06Z,26,
2015-07-08T20:03:13Z,1,
2015-07-08T20:03:13Z,1,
2015-07-08T20:03:13Z,1,
2015-07-08T21:17:05Z,539,
2015-07-08T21:17:05Z,539,
2015-07-08T21:20:25Z,1,
2015-07-08T21:41:23Z,25,
2015-07-08T22:31:09Z,158,
2015-07-08T23:05:24Z,64,
2015-07-09T00:41:29Z,331,
2015-07-09T04:11:06Z,5,
2015-07-09T05:05:56Z,38,
2015-07-09T06:40:56Z,12,
2015-07-09T07:13:21Z,80,
2015-07-09T16:52:58Z,8,
2015-07-09T16:52:58Z,8,
2015-07-09T16:52:58Z,8,
2015-07-09T19:49:31Z,1,
2015-07-09T19:49:31Z,1,
2015-07-09T19:49:31Z,1,
2015-07-09T20:52:23Z,35,
2015-07-09T20:52:23Z,35,
2015-07-09T21:24:13Z,601,
2015-07-09T21:24:13Z,601,
2015-07-09T21:24:13Z,601,
2015-07-09T22:52:20Z,788,
2015-07-09T23:43:02Z,40,
2015-07-09T23:43:02Z,40,
2015-07-09T23:47:21Z,225,
2015-07-09T23:47:21Z,225,
2015-07-09T23:47:21Z,225,
2015-07-10T07:06:43Z,39,
2015-07-10T07:06:43Z,39,
2015-07-10T07:06:43Z,39,
2015-07-10T07:48:19Z,8,
2015-07-10T07:48:19Z,8,
2015-07-10T07:48:19Z,8,
2015-07-10T09:53:20Z,109,
2015-07-10T09:53:20Z,109,
2015-07-10T09:53:20Z,109,
2015-07-10T10:36:30Z,51,
2015-07-10T10:36:30Z,51,
2015-07-10T10:36:30Z,51,
2015-07-10T12:52:13Z,4,
2015-07-10T12:52:13Z,4,
2015-07-10T12:52:13Z,4,
2015-07-10T16:28:33Z,20,
2015-07-10T16:28:33Z,20,
2015-07-10T16:28:33Z,20,
2015-07-10T17:46:02Z,302,
2015-07-10T17:46:02Z,302,
2015-07-10T17:46:02Z,302,
2015-07-10T18:37:07Z,1,
2015-07-10T18:37:07Z,1,
2015-07-10T18:37:07Z,1,
2015-07-10T19:50:50Z,2,
2015-07-10T19:50:50Z,2,
2015-07-10T19:50:50Z,2,
2015-07-10T20:48:01Z,77,
2015-07-10T20:48:01Z,77,
2015-07-10T20:48:01Z,77,
2015-07-10T21:11:47Z,32,
2015-07-10T21:11:47Z,32,
2015-07-10T21:11:47Z,32,
2015-07-10T21:41:30Z,166,
2015-07-10T21:41:30Z,166,
2015-07-10T21:41:30Z,166,
2015-07-10T23:33:20Z,638,
2015-07-10T23:33:20Z,638,
2015-07-10T23:33:20Z,638,
2015-07-10T23:39:49Z,109,
2015-07-10T23:39:49Z,109,
2015-07-10T23:39:49Z,109,
2015-07-11T00:47:56Z,57,
2015-07-11T00:47:56Z,57,
2015-07-11T00:47:56Z,57,
2015-07-11T07:24:06Z,155,
2015-07-11T07:24:06Z,155,
2015-07-11T07:24:06Z,155,
2015-07-11T07:36:23Z,361,
2015-07-11T07:36:23Z,361,
2015-07-11T07:36:23Z,361,
2015-07-11T07:40:14Z,15,
2015-07-11T07:40:14Z,15,
2015-07-11T10:48:02Z,712,
2015-07-11T10:48:02Z,712,
2015-07-11T10:48:02Z,712,
2015-07-11T11:33:43Z,16,
2015-07-11T11:33:43Z,16,
2015-07-11T11:33:43Z,16,
2015-07-11T11:58:15Z,110,
2015-07-11T11:58:15Z,110,
2015-07-11T11:58:15Z,110,
2015-07-11T12:07:31Z,1,
2015-07-11T12:07:31Z,1,
2015-07-11T12:07:31Z,1,
2015-07-11T18:05:58Z,6,
2015-07-11T18:05:58Z,6,
2015-07-11T18:05:58Z,6,
2015-07-11T18:35:03Z,1,
2015-07-11T18:35:03Z,1,
2015-07-11T18:35:03Z,1,
2015-07-11T19:05:09Z,15,
2015-07-11T19:05:09Z,15,
2015-07-11T19:05:09Z,15,
2015-07-11T21:05:15Z,1,
2015-07-11T21:05:15Z,1,
2015-07-11T21:05:15Z,1,
2015-07-11T22:03:37Z,229,
2015-07-11T22:03:37Z,229,
2015-07-11T22:03:37Z,229,
2015-07-11T22:53:08Z,0,
2015-07-11T22:53:08Z,0,
2015-07-11T22:53:08Z,0,
2015-07-12T00:22:55Z,0,
2015-07-12T00:22:55Z,0,
2015-07-12T00:22:55Z,0,
2015-07-12T00:45:58Z,26,
2015-07-12T00:45:58Z,26,
2015-07-12T00:45:58Z,26,
2015-07-12T03:05:53Z,92,
2015-07-12T03:05:53Z,92,
2015-07-12T03:05:53Z,92,
2015-07-12T05:48:37Z,19,
2015-07-12T05:48:37Z,19,
2015-07-12T05:48:37Z,19,
2015-07-12T07:33:01Z,22,
2015-07-12T07:33:01Z,22,
2015-07-12T07:33:01Z,22,
2015-07-12T07:35:55Z,66,
2015-07-12T07:35:55Z,66,
2015-07-12T07:35:55Z,66,
2015-07-12T07:37:46Z,37,
2015-07-12T07:37:46Z,37,
2015-07-12T07:37:46Z,37,
2015-07-12T09:02:05Z,12,
2015-07-12T09:02:05Z,12,
2015-07-12T09:02:05Z,12,
2015-07-12T11:43:24Z,111,
2015-07-12T11:43:24Z,111,
2015-07-12T11:43:24Z,111,
2015-07-12T18:13:20Z,15,
2015-07-12T18:13:20Z,15,
2015-07-12T18:13:20Z,15,
2015-07-12T18:54:47Z,25,
2015-07-12T18:55:16Z,24,
2015-07-12T18:55:16Z,24,
2015-07-12T18:55:16Z,24,
2015-07-12T22:44:15Z,2,
2015-07-12T22:44:15Z,2,
2015-07-12T22:44:15Z,2,
2015-07-12T22:56:37Z,18,
2015-07-12T22:56:37Z,18,
2015-07-12T22:56:37Z,18,
2015-07-12T23:46:52Z,1,
2015-07-12T23:46:52Z,1,
2015-07-12T23:46:52Z,1,
2015-07-12T23:53:17Z,3,
2015-07-12T23:53:17Z,3,
2015-07-12T23:53:17Z,3,
2015-07-13T02:57:32Z,2354,
2015-07-13T02:57:32Z,2354,
2015-07-13T02:57:32Z,2354,
2015-07-13T06:49:11Z,38,
2015-07-13T06:49:11Z,38,
2015-07-13T06:49:11Z,38,
2015-07-13T08:09:12Z,1,
2015-07-13T08:09:12Z,1,
2015-07-13T08:09:12Z,1,
2015-07-13T11:27:04Z,21,
2015-07-13T11:27:04Z,21,
2015-07-13T11:27:04Z,21,
2015-07-13T11:58:02Z,71,
2015-07-13T11:58:02Z,71,
2015-07-13T11:58:02Z,71,
2015-07-13T13:25:40Z,4,
2015-07-13T13:25:40Z,4,
2015-07-13T13:25:40Z,4,
2015-07-13T15:23:30Z,2,
2015-07-13T15:23:30Z,2,
2015-07-13T15:23:30Z,2,
2015-07-13T17:09:49Z,10,
2015-07-13T17:09:49Z,10,
2015-07-13T17:09:49Z,10,
2015-07-13T17:18:03Z,397,
2015-07-13T17:18:03Z,397,
2015-07-13T18:04:56Z,23,
2015-07-13T18:04:56Z,23,
2015-07-13T18:04:56Z,23,
2015-07-13T19:20:42Z,5,
2015-07-13T19:20:42Z,5,
2015-07-13T19:20:42Z,5,
2015-07-13T19:59:19Z,3,
2015-07-13T19:59:19Z,3,
2015-07-13T19:59:19Z,3,
2015-07-13T21:26:22Z,2,
2015-07-13T21:26:22Z,2,
2015-07-13T21:26:22Z,2,
2015-07-13T21:39:39Z,84,
2015-07-13T21:39:39Z,84,
2015-07-13T21:39:39Z,84,
2015-07-13T22:19:03Z,92,
2015-07-13T22:19:03Z,92,
2015-07-13T22:19:03Z,92,
2015-07-14T00:37:22Z,47,
2015-07-14T00:37:22Z,47,
2015-07-14T00:37:22Z,47,
2015-07-14T01:40:48Z,1,
2015-07-14T01:40:48Z,1,
2015-07-14T02:23:49Z,49,
2015-07-14T02:23:49Z,49,
2015-07-14T02:23:49Z,49,
2015-07-14T07:08:31Z,5442,
2015-07-14T07:08:31Z,5442,
2015-07-14T07:08:31Z,5442,
2015-07-14T10:39:59Z,2,
2015-07-14T10:39:59Z,2,
2015-07-14T10:39:59Z,2,
2015-07-14T12:34:51Z,378,
2015-07-14T12:34:51Z,378,
2015-07-14T15:52:45Z,8,
2015-07-14T15:52:45Z,8,
2015-07-14T15:52:45Z,8,
2015-07-14T16:05:57Z,61,
2015-07-14T16:05:57Z,61,
2015-07-14T16:05:57Z,61,
2015-07-14T17:33:50Z,4,
2015-07-14T17:33:50Z,4,
2015-07-14T17:33:50Z,4,
2015-07-14T18:06:37Z,0,
2015-07-14T18:06:37Z,0,
2015-07-14T18:06:37Z,0,
2015-07-14T22:18:47Z,157,
2015-07-14T22:18:47Z,157,
2015-07-14T22:18:47Z,157,
2015-07-14T23:37:48Z,97,
2015-07-14T23:37:48Z,97,
2015-07-14T23:39:30Z,9,
2015-07-14T23:39:30Z,9,
2015-07-15T02:30:20Z,53,
2015-07-15T02:30:20Z,53,
2015-07-15T05:21:25Z,559,
2015-07-15T05:21:25Z,559,
2015-07-15T13:21:44Z,24,
2015-07-15T13:21:44Z,24,
2015-07-15T21:35:58Z,2,
2015-07-15T21:35:58Z,2,
2015-07-15T21:46:02Z,142,
2015-07-15T21:46:02Z,142,
2015-07-16T03:51:57Z,0,
2015-07-16T03:51:57Z,0,
2015-07-16T06:38:41Z,195,
2015-07-16T06:38:41Z,195,
2015-07-16T07:25:40Z,49,
2015-07-16T07:25:40Z,49,
2015-07-16T08:35:51Z,1840,
2015-07-16T08:35:51Z,1840,
2015-07-16T11:18:14Z,6,
2015-07-16T11:18:14Z,6,
2015-07-16T13:36:53Z,1,
2015-07-16T13:36:53Z,1,
2015-07-16T13:39:55Z,1,
2015-07-16T13:39:55Z,1,
2015-07-16T18:02:07Z,98,
2015-07-16T18:24:24Z,69,
2015-07-16T19:02:27Z,60,
2015-07-16T19:55:57Z,3,
2015-07-17T00:21:58Z,193,
2015-07-17T03:45:42Z,1,
2015-07-17T03:45:42Z,1,
2015-07-17T03:50:08Z,1,
2015-07-17T07:47:44Z,1,
2015-07-17T08:06:25Z,113,
2015-07-17T12:00:27Z,154,
2015-07-17T14:27:46Z,78,
2015-07-17T14:45:12Z,539,
2015-07-17T15:04:08Z,4,
2015-07-17T15:04:08Z,4,
2015-07-17T17:14:57Z,2,
2015-07-17T17:14:57Z,2,
2015-07-17T18:08:46Z,22,
2015-07-17T18:08:46Z,22,
2015-07-17T18:35:37Z,2,
2015-07-17T18:35:37Z,2,
2015-07-17T18:55:07Z,1,
2015-07-17T18:55:07Z,1,
2015-07-17T19:44:05Z,40,
2015-07-17T21:13:17Z,136,
2015-07-17T21:24:36Z,60,
2015-07-17T21:46:41Z,38,
2015-07-17T22:50:40Z,7,
2015-07-17T23:23:43Z,23,
2015-07-17T23:23:43Z,23,
2015-07-18T06:43:45Z,86,
2015-07-18T15:47:53Z,120,
2015-07-18T16:26:43Z,17,
2015-07-18T20:40:43Z,40,
2015-07-18T21:41:07Z,28,
2015-07-18T22:18:59Z,39,
2015-07-18T23:59:06Z,34,
2015-07-19T01:15:46Z,44,
2015-07-19T01:15:46Z,44,
2015-07-19T03:58:28Z,2,
2015-07-19T03:58:28Z,2,
2015-07-19T14:19:52Z,28,
2015-07-19T14:19:52Z,28,
2015-07-19T16:28:34Z,21,
2015-07-19T16:28:34Z,21,
2015-07-19T19:39:58Z,17,
2015-07-19T19:39:58Z,17,
2015-07-19T19:47:25Z,17,
2015-07-19T19:47:25Z,17,
2015-07-19T21:05:20Z,21,
2015-07-19T21:05:20Z,21,
2015-07-19T22:48:00Z,11,
2015-07-19T22:48:00Z,11,
2015-07-19T23:35:57Z,1046,
2015-07-20T02:15:16Z,1,
2015-07-20T02:15:16Z,1,
2015-07-20T03:46:35Z,1,
2015-07-20T03:46:35Z,1,
2015-07-20T05:17:55Z,16,
2015-07-20T05:17:55Z,16,
2015-07-20T08:12:26Z,17,
2015-07-20T08:12:26Z,17,
2015-07-20T08:36:09Z,38,
2015-07-20T08:36:09Z,38,
2015-07-20T11:06:24Z,0,
2015-07-20T11:06:24Z,0,
2015-07-20T11:47:43Z,1,
2015-07-20T11:47:43Z,1,
2015-07-20T12:04:09Z,51,
2015-07-20T12:04:09Z,51,
2015-07-20T12:32:32Z,30,
2015-07-20T12:32:32Z,30,
2015-07-20T12:41:23Z,47,
2015-07-20T12:41:23Z,47,
2015-07-20T14:48:46Z,15,
2015-07-20T14:48:46Z,15,
2015-07-20T15:30:44Z,4,
2015-07-20T15:30:44Z,4,
2015-07-20T16:27:09Z,5,
2015-07-20T16:27:09Z,5,
2015-07-20T17:00:01Z,20,
2015-07-20T17:00:01Z,20,
2015-07-20T17:02:30Z,97,
2015-07-20T17:02:30Z,97,
2015-07-20T17:17:01Z,1,
2015-07-20T17:17:01Z,1,
2015-07-20T17:17:38Z,28,
2015-07-20T17:17:38Z,28,
2015-07-20T17:31:35Z,24,
2015-07-20T17:31:35Z,24,
2015-07-20T17:41:39Z,22,
2015-07-20T17:41:39Z,22,
2015-07-20T17:45:33Z,0,
2015-07-20T17:45:33Z,0,
2015-07-20T18:33:54Z,140,
2015-07-20T18:33:54Z,140,
2015-07-20T18:41:45Z,16,
2015-07-20T18:41:45Z,16,
2015-07-20T19:44:12Z,120,
2015-07-20T19:44:12Z,120,
2015-07-20T19:53:02Z,8,
2015-07-20T19:53:02Z,8,
2015-07-20T20:17:13Z,478,
2015-07-20T20:17:13Z,478,
2015-07-20T20:20:12Z,1533,
2015-07-20T20:46:37Z,73,
2015-07-20T20:46:37Z,73,
2015-07-20T22:08:05Z,229,
2015-07-20T22:08:05Z,229,
2015-07-20T23:15:23Z,12,
2015-07-20T23:15:23Z,12,
2015-07-20T23:46:28Z,29,
2015-07-21T00:13:27Z,42,
2015-07-21T00:14:26Z,23,
2015-07-21T02:32:40Z,519,
2015-07-21T06:16:29Z,18,
2015-07-21T08:47:22Z,97,
2015-07-21T11:05:06Z,63,
2015-07-21T11:44:10Z,13,
2015-07-21T14:00:33Z,4,
2015-07-21T14:20:21Z,759,
2015-07-21T14:59:01Z,2,
2015-07-21T15:41:52Z,14,
2015-07-21T16:15:52Z,2,
2015-07-21T16:31:32Z,3,
2015-07-21T16:40:52Z,156,
2015-07-21T17:18:09Z,269,
2015-07-21T18:08:17Z,25,
2015-07-21T19:04:39Z,738,
2015-07-21T19:57:29Z,11,
2015-07-21T20:59:47Z,1,
2015-07-21T21:09:20Z,5,
2015-07-21T21:13:27Z,22,
2015-07-21T21:23:40Z,1,
2015-07-21T23:00:24Z,906,
2015-07-22T02:46:08Z,750,
2015-07-22T04:33:13Z,93,
2015-07-22T05:22:03Z,749,
2015-07-22T09:19:09Z,667,
2015-07-22T12:53:27Z,56,
2015-07-22T13:19:59Z,4,
2015-07-22T13:39:55Z,899,
2015-07-22T14:28:39Z,748,
2015-07-22T15:37:26Z,35,
2015-07-22T16:56:53Z,4011,
2015-07-22T17:00:35Z,39,
2015-07-22T21:18:36Z,15,
2015-07-22T22:20:35Z,6,
2015-07-22T23:26:16Z,70,
2015-07-23T00:49:30Z,0,
2015-07-23T06:55:16Z,1,
2015-07-23T07:34:43Z,230,
2015-07-23T09:44:59Z,50,
2015-07-23T10:28:27Z,156,
2015-07-23T11:26:06Z,49,
2015-07-23T11:56:16Z,37,
2015-07-23T12:57:10Z,433,
2015-07-23T13:43:57Z,3,
2015-07-23T13:48:03Z,27,
2015-07-23T16:57:18Z,8,
2015-07-23T17:27:55Z,27,
2015-07-23T19:50:56Z,24,
2015-07-23T20:32:01Z,7,
2015-07-23T23:48:02Z,94,
2015-07-23T23:49:26Z,3,
2015-07-24T01:16:44Z,177,
2015-07-24T02:17:56Z,18,
2015-07-24T11:32:19Z,6,
2015-07-24T14:26:51Z,80,
2015-07-24T16:06:59Z,97,
2015-07-24T16:18:02Z,315,
2015-07-24T16:59:33Z,16,
2015-07-24T18:56:04Z,409,
2015-07-24T20:16:22Z,4,
2015-07-24T23:06:19Z,1192,
2015-07-25T00:04:45Z,20,
2015-07-25T04:44:57Z,2,
2015-07-25T04:56:27Z,3,
2015-07-25T05:06:38Z,37,
2015-07-25T05:18:41Z,1,
2015-07-25T07:07:06Z,1,
2015-07-25T10:25:59Z,109,
2015-07-25T18:27:13Z,63,
2015-07-25T18:57:06Z,21,
2015-07-25T19:15:43Z,146,
2015-07-25T19:15:43Z,146,
2015-07-25T19:27:27Z,4,
2015-07-25T19:27:27Z,4,
2015-07-25T21:38:52Z,35,
2015-07-25T21:38:52Z,35,
2015-07-25T23:43:55Z,52,
2015-07-25T23:43:55Z,52,
2015-07-26T00:40:42Z,300,
2015-07-26T01:09:20Z,10,
2015-07-26T01:09:20Z,10,
2015-07-26T03:58:48Z,1,
2015-07-26T03:58:48Z,1,
2015-07-26T05:29:07Z,250,
2015-07-26T09:16:33Z,22,
2015-07-26T09:16:33Z,22,
2015-07-26T10:53:56Z,308,
2015-07-26T10:53:56Z,308,
2015-07-26T17:24:06Z,1,
2015-07-26T17:24:06Z,1,
2015-07-26T17:43:54Z,210,
2015-07-26T17:43:54Z,210,
2015-07-26T19:13:28Z,3827,
2015-07-26T21:46:22Z,25,
2015-07-26T21:46:22Z,25,
2015-07-26T22:36:22Z,34,
2015-07-26T22:36:22Z,34,
2015-07-26T22:38:13Z,3,
2015-07-26T22:38:13Z,3,
2015-07-26T22:38:53Z,25,
2015-07-27T01:24:25Z,183,
2015-07-27T02:22:49Z,18,
2015-07-27T05:26:16Z,1,
2015-07-27T06:29:44Z,17,
2015-07-27T08:59:40Z,27,
2015-07-27T14:19:32Z,2,
2015-07-27T14:52:20Z,419,
2015-07-27T15:43:12Z,1,
2015-07-27T17:43:40Z,38,
2015-07-27T17:43:40Z,38,
2015-07-27T19:36:54Z,1384,
2015-07-27T20:16:22Z,231,
2015-07-27T23:09:00Z,149,
2015-07-27T23:16:26Z,4,
2015-07-28T02:20:51Z,0,
2015-07-28T02:25:18Z,2,
2015-07-28T03:04:41Z,0,
2015-07-28T07:41:24Z,2,
2015-07-28T07:41:24Z,2,
2015-07-28T08:58:59Z,30,
2015-07-28T13:18:02Z,18,
2015-07-28T13:54:51Z,30,
2015-07-28T14:05:38Z,5,
2015-07-28T14:31:42Z,154,
2015-07-28T14:56:05Z,23,
2015-07-28T14:56:05Z,23,
2015-07-28T16:24:35Z,17,
2015-07-28T16:24:35Z,17,
2015-07-28T17:23:10Z,1,
2015-07-28T17:23:10Z,1,
2015-07-28T17:57:02Z,5,
2015-07-28T17:57:02Z,5,
2015-07-28T18:12:11Z,127,
2015-07-28T18:12:11Z,127,
2015-07-28T22:18:53Z,119,
2015-07-28T22:19:13Z,17,
2015-07-28T22:19:13Z,17,
2015-07-28T23:08:56Z,24,
2015-07-28T23:08:56Z,24,
2015-07-28T23:23:04Z,5,
2015-07-28T23:23:04Z,5,
2015-07-28T23:37:16Z,111,
2015-07-28T23:37:16Z,111,
2015-07-29T00:45:36Z,22,
2015-07-29T00:45:36Z,22,
2015-07-29T04:20:50Z,14,
2015-07-29T04:20:50Z,14,
2015-07-29T04:24:41Z,2,
2015-07-29T04:24:41Z,2,
2015-07-29T05:30:57Z,8,
2015-07-29T05:30:57Z,8,
2015-07-29T12:45:45Z,220,
2015-07-29T13:49:06Z,1,
2015-07-29T13:49:06Z,1,
2015-07-29T14:30:37Z,652,
2015-07-29T14:30:37Z,652,
2015-07-29T19:03:37Z,40,
2015-07-29T19:03:37Z,40,
2015-07-29T20:13:54Z,97,
2015-07-29T20:13:54Z,97,
2015-07-29T20:34:11Z,2,
2015-07-29T20:34:11Z,2,
2015-07-29T20:39:44Z,8,
2015-07-29T20:57:15Z,61,
2015-07-29T21:16:16Z,48,
2015-07-29T21:54:19Z,83,
2015-07-29T23:34:26Z,6,
2015-07-30T01:43:05Z,500,
2015-07-30T08:29:22Z,21,
2015-07-30T08:45:15Z,3,
2015-07-30T15:54:54Z,19,
2015-07-30T16:51:52Z,1253,
2015-07-30T21:32:53Z,14,
2015-07-30T21:33:54Z,2,
2015-07-30T21:34:22Z,14,
2015-07-30T22:32:37Z,4,
2015-07-30T22:39:54Z,8,
2015-07-31T01:12:42Z,124,
2015-07-31T01:49:10Z,237,
2015-07-31T02:25:13Z,330,
2015-07-31T02:56:00Z,36,
2015-07-31T03:22:04Z,2,
2015-07-31T03:40:40Z,6,
2015-07-31T05:56:05Z,24,
2015-07-31T07:33:39Z,15,
2015-07-31T08:11:34Z,1,
2015-07-31T08:31:20Z,1,
2015-07-31T10:56:05Z,8,
2015-07-31T12:28:45Z,19,
2015-07-31T14:56:05Z,2,
2015-07-31T15:56:52Z,4,
2015-07-31T16:08:43Z,36,
2015-07-31T17:44:33Z,189,
2015-07-31T18:52:21Z,2,
2015-07-31T19:00:15Z,1,
2015-07-31T21:20:19Z,45,
2015-08-01T00:21:57Z,0,
2015-08-01T05:23:11Z,159,
2015-08-01T07:01:24Z,114,
2015-08-01T18:33:02Z,260,
2015-08-01T18:57:20Z,2,
2015-08-01T20:08:29Z,38,
2015-08-01T21:40:04Z,24,
2015-08-02T10:32:22Z,1,
2015-08-02T12:15:05Z,3,
2015-08-02T14:52:15Z,57,
2015-08-02T18:08:34Z,6,
2015-08-02T18:45:56Z,200,
2015-08-02T19:35:54Z,22,
2015-08-02T21:03:53Z,7,
2015-08-03T02:39:37Z,81,
2015-08-03T05:07:15Z,74,
2015-08-03T08:31:11Z,2,
2015-08-03T08:43:33Z,3,
2015-08-03T13:53:50Z,94,
2015-08-03T14:02:04Z,38,
2015-08-03T14:07:47Z,2,
2015-08-03T15:41:01Z,54,
2015-08-03T18:53:22Z,4,
2015-08-03T18:57:50Z,54,
2015-08-03T19:50:56Z,188,
2015-08-03T20:19:33Z,1,
2015-08-03T20:24:07Z,61,
2015-08-03T21:25:48Z,0,
2015-08-03T23:17:16Z,55,
2015-08-04T00:58:07Z,6,
2015-08-04T07:22:54Z,6,
2015-08-04T12:30:54Z,127,
2015-08-04T15:45:39Z,29,
2015-08-04T16:05:05Z,4,
2015-08-04T17:23:52Z,11,
2015-08-04T18:25:01Z,122,
2015-08-04T19:49:22Z,1,
2015-08-04T19:58:18Z,16,
2015-08-04T20:43:57Z,5,
2015-08-04T22:14:24Z,2,
2015-08-04T22:31:10Z,8,
2015-08-05T01:07:22Z,3,
2015-08-05T07:56:20Z,8,
2015-08-05T07:56:20Z,8,
2015-08-05T08:15:39Z,151,
2015-08-05T08:15:39Z,151,
2015-08-05T11:33:58Z,14,
2015-08-05T16:16:30Z,3,
2015-08-05T16:16:30Z,3,
2015-08-05T16:23:26Z,0,
2015-08-05T16:23:26Z,0,
2015-08-05T16:29:49Z,2,
2015-08-05T16:29:49Z,2,
2015-08-05T16:58:42Z,39,
2015-08-05T17:24:21Z,12,
2015-08-05T17:24:21Z,12,
2015-08-05T17:45:34Z,60,
2015-08-05T17:45:34Z,60,
2015-08-05T18:34:49Z,24,
2015-08-05T18:34:49Z,24,
